what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347268806500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347268807781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347268807781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347268807968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347268808999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347268809046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347268809062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347268809077
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347268823498
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347268835059
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347268836215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347268854651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347268858057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347268860057
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347268860073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347268876805
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347268876946
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347268879008
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347268880930
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347268882774
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347268907552
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347268911927
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347268914833
