what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347588650673
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347588652219
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347588652219
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347588652593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347588656417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347588657588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347588657588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347588657713
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347588671777
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1347588673587
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347588690460
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347588691678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347588691694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347588691756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347588714701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347588737943
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347588741205
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347588759155
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347588770550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347588781679
executed,command,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.actions.pyShowOutline",1347588781757
